plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_032817,ndvi_041317,ndvi_050117,ndvi_050917,ndvi_052117,ndvi_052317,ndvi_053017,ndvi_060517,ndvi_061317,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_032817,pthtd_041317,pthtd_050117,pthtd_050917,pthtd_052117,pthtd_052317,pthtd_053017,pthtd_060517,pthtd_061317,pthtd_phi1,pthtd_phi2,pthtd_phi3
17BYD00038,1,1,10,3,KS090438M-2,Rocky,9/12/16,Untreated,35,0.99,5010,0.85,0.91,0.9,0.9,0.87,0.88,0.8,0.7,0.5,0.894561445,39.13096441,-0.142034551,0.324,0.543,0.573,0.873,0.752,0.661,0.829,0.93,0.958,0.963798978,-9.370401021,0.04428493
17BYD00039,1,1,10,2,Everest,Rocky,9/12/16,Untreated,5,0.98,4780,0.87,0.91,0.9,0.9,0.85,0.87,0.79,0.66,0.41,0.896023719,42.04507362,-0.15409895,0.309,0.527,0.658,0.841,0.73,0.685,0.761,0.841,0.874,0.826791477,-14.67388975,0.07088195
17BYD00040,1,1,10,1,KS090049K-6,Rocky,9/12/16,Untreated,40,0.86,4020,0.84,0.88,0.88,0.88,0.86,0.87,0.79,0.7,0.49,0.875011825,41.90923478,-0.152140928,0.32,0.513,0.537,0.808,0.637,0.556,0.659,0.675,0.734,0.700054729,-14.37962963,0.071301767
17BYD00041,1,1,11,1,KS090529K-18,Rocky,9/12/16,Untreated,30,0.92,3670,0.89,0.9,0.87,0.87,0.82,0.83,0.75,0.67,0.46,0.885808708,32.3208241,-0.117568995,0.34,0.528,0.66,0.855,0.816,0.71,0.854,0.888,0.83,0.866294836,-13.07437471,0.063174118
17BYD00042,1,1,11,2,Art,Rocky,9/12/16,Untreated,60,0.83,2710,0.85,0.89,0.86,0.87,0.82,0.84,0.75,0.68,0.45,0.867984843,37.70495183,-0.137269187,0.31,0.547,0.619,0.807,0.655,0.616,0.704,0.821,0.873,0.789332268,-13.68586206,0.066763321
17BYD00043,1,1,11,3,KS090041K-1,Rocky,9/12/16,Untreated,10,0.95,2790,0.87,0.91,0.89,0.89,0.85,0.86,0.79,0.69,0.42,0.888485929,43.86220628,-0.160425533,0.34,0.567,0.62,0.873,0.736,0.682,0.819,0.913,0.897,0.876658593,-11.73344749,0.056952553
17BYD00044,1,1,11,4,KS090373K-2,Rocky,9/12/16,Untreated,15,1.02,4560,0.88,0.93,0.9,0.9,0.87,0.87,0.79,0.68,0.44,0.905052266,39.694683,-0.145080549,0.361,0.619,0.706,0.916,0.793,0.839,0.932,0.999,1.001,0.984028162,-11.66823558,0.056366093
17BYD00045,1,1,12,4,KS12DH0296-47,Rocky,9/12/16,Untreated,10,0.96,4590,0.88,0.92,0.89,0.89,0.82,0.84,0.73,0.57,0.38,0.901683406,33.95933391,-0.125259501,0.37,0.603,0.684,0.873,0.779,0.751,0.93,0.98,0.993,1.006658144,-9.098536905,0.043766255
17BYD00046,1,1,12,3,KS12DH0296-159,Rocky,9/12/16,Untreated,15,0.85,4320,0.85,0.91,0.89,0.88,0.86,0.88,0.81,0.71,0.45,0.88432863,47.35899441,-0.172727596,0.327,0.54,0.617,0.79,0.719,0.751,0.817,0.848,0.842,0.848951932,-11.52075207,0.055841976
17BYD00047,1,1,12,2,LCSPistol,Rocky,9/12/16,Untreated,20,0.91,4690,0.86,0.9,0.89,0.91,0.85,0.89,0.81,0.75,0.49,0.887625517,47.38208933,-0.172121532,0.334,0.52,0.599,0.827,0.63,0.624,0.71,0.779,0.794,0.76103319,-12.90786134,0.063512195
17BYD00048,1,1,12,1,KS090049K-14,Rocky,9/12/16,Untreated,20,0.92,5170,0.83,0.89,0.89,0.89,0.87,0.89,0.84,0.81,0.57,0.875969915,62.13675465,-0.224495032,0.311,0.48,0.571,0.815,0.767,0.749,0.846,0.891,0.897,0.96986466,-9.542299843,0.044102851
17BYD00049,1,1,13,1,KS090387K-9,Rocky,9/12/16,Untreated,35,0.95,3640,0.86,0.9,0.88,0.88,0.85,0.85,0.79,0.75,0.52,0.877491997,41.04455161,-0.148330369,0.356,0.528,0.651,0.83,0.845,0.826,0.891,0.93,0.913,0.9675378,-10.69346193,0.050638256
17BYD00050,1,1,13,2,KS090036K-10,Rocky,9/12/16,Untreated,25,0.92,3620,0.85,0.88,0.88,0.88,0.83,0.86,0.77,0.69,0.45,0.872674322,41.31657771,-0.150533784,0.342,0.594,0.679,0.821,0.781,0.7,0.773,0.881,0.926,0.859177067,-13.03060668,0.063855075
17BYD00051,1,1,13,3,KS090391K-2,Rocky,9/12/16,Untreated,45,0.86,4280,0.88,0.9,0.87,0.87,0.85,0.87,0.8,0.75,0.49,0.877667306,47.26941162,-0.171590566,0.331,0.479,0.604,0.74,0.761,0.762,0.822,0.839,0.85,0.902917148,-9.811796291,0.046280803
